rank,category,count,total_ms,avg_us,min_us,max_us,devices,short_name,full_name
94,other_kernel,5992,19.55939,3.264251,2.208,173.537,0;1;2;3;4;5;6;7,DeviceSelectSweepKernel,"void at_cuda_detail::cub::detail::select::DeviceSelectSweepKernel<at_cuda_detail::cub::detail::select::policy_hub<int, at_cuda_detail::cub::NullType, int, (bool)0, (at_cuda_detail::cub::SelectImpl)0>::Policy1000, const int *, at_cuda_detail::cub::NullType *, int *, long *, at_cuda_detail::cub::ScanTileState<int, (bool)1>, at_cuda_detail::cub::NullType, cuda::std::__4::equal_to<void>, int, at_cuda_detail::cub::detail::select::streaming_context_t<long, (bool)1>, (at_cuda_detail::cub::SelectImpl)0>(T2, T3, T4, T5, T6, T7, T8, T9, int, T10, at_cuda_detail::cub::detail::vsmem_t)"
95,cutlass_fp8_gemm,78,19.350375,248.081731,237.088,257.634,0;1;2;3;4;5;6;7,nvjet_sm90_tst_128x232_64x4_2x1_v_bz_coopA_TNT,nvjet_sm90_tst_128x232_64x4_2x1_v_bz_coopA_TNT
96,cutlass_fp8_gemm,156,16.164734,103.62009,92.801,117.441,0;1;2;3;4;5;6;7,nvjet_sm90_tst_128x200_64x5_2x1_v_bz_coopA_TNT,nvjet_sm90_tst_128x200_64x5_2x1_v_bz_coopA_TNT
97,elementwise_misc,6080,11.736612,1.930364,1.088,53.088,0;1;2;3;4;5;6;7,CatArrayBatchedCopy_contig,"void at::native::<unnamed>::CatArrayBatchedCopy_contig<at::native::<unnamed>::OpaqueType<(unsigned int)8>, unsigned int, (int)1, (int)128, (int)1>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
98,cutlass_fp8_gemm,78,7.038311,90.234756,82.624,115.585,0;1;2;3;4;5;6;7,sm90_fp8_gemm_1d2d_impl,"void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, (unsigned int)0, (unsigned int)0, (unsigned int)0, (unsigned int)1, (unsigned int)128, (unsigned int)192, (unsigned int)128, (unsigned int)128, (unsigned int)128, (unsigned int)128, (unsigned int)4, (unsigned int)128, (unsigned int)256, (unsigned int)2, (bool)0, (unsigned int)132, (deep_gemm::GemmType)0, deep_gemm::epilogue::transform::EpilogueIdentity>(float *, int *, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)"
99,elementwise_misc,5600,6.767287,1.208444,0.96,1.952,0;1;2;3;4;5;6;7,CatArrayBatchedCopy_vectorized,"void at::native::<unnamed>::CatArrayBatchedCopy_vectorized<at::native::<unnamed>::OpaqueType<(unsigned int)4>, unsigned int, (int)1, (int)128, (int)1, (int)16, (int)4>(char *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
100,cutlass_fp8_gemm,75,1.73249,23.099867,21.664,36.384,0;1;2;3;4;5;6;7,nvjet_sm90_tst_64x104_64x10_2x1_v_bz_TNT,nvjet_sm90_tst_64x104_64x10_2x1_v_bz_TNT
101,elementwise_misc,447,1.24884,2.793826,1.28,4.768,0;1;2;3;4;5;6;7,indexSelectSmallIndex,"void at::native::<unnamed>::indexSelectSmallIndex<int, int, unsigned int, (int)1, (int)1, (int)-2>(at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<const T1, T3>, at::cuda::detail::TensorInfo<const T2, T3>, int, int, T3, long)"
102,cutlass_fp8_gemm,21,0.364032,17.334857,16.672,18.144,0;1;2;3;4;5;6;7,nvjet_sm90_tss_32x64_64x16_1x4_h_bz_splitK_TNN,nvjet_sm90_tss_32x64_64x16_1x4_h_bz_splitK_TNN
103,cutlass_fp8_gemm,21,0.264835,12.61119,11.617,14.56,0;1;2;3;4;5;6;7,sm90_fp8_gemm_1d2d_impl,"void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, (unsigned int)0, (unsigned int)0, (unsigned int)0, (unsigned int)1, (unsigned int)64, (unsigned int)64, (unsigned int)128, (unsigned int)128, (unsigned int)128, (unsigned int)128, (unsigned int)13, (unsigned int)128, (unsigned int)128, (unsigned int)1, (bool)0, (unsigned int)132, (deep_gemm::GemmType)0, deep_gemm::epilogue::transform::EpilogueIdentity>(float *, int *, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)"
104,quant_rope_norm,120,0.237347,1.977892,1.344,3.872,0;1;2;3;4;5;6;7,elementwise_kernel,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<long>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
105,elementwise_misc,120,0.173728,1.447733,1.088,4.448,0;1;2;3;4;5;6;7,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::AUnaryFunctor<long, long, long, at::native::binary_internal::MulFunctor<long>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
106,elementwise_misc,120,0.098816,0.823467,0.64,3.104,0;1;2;3;4;5;6;7,elementwise_kernel_with_index,"void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &, const c10::Scalar &, const c10::Scalar &, at::Tensor &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *)"
107,elementwise_misc,21,0.043937,2.092238,1.952,2.272,0;1;2;3;4;5;6;7,splitKreduce_kernel,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, float, float, float, (bool)0, float, float, float, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
