rank,category,count,total_ms,avg_us,min_us,max_us,devices,short_name,full_name
32,quant_rope_norm,286287,1169.472742,4.084966,1.184,34.561,0;1;2;3,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
33,other_kernel,141726,1159.179025,8.179015,4.32,11.744,0;1;2;3,set_mla_kv_buffer_kernel,"void <unnamed>::set_mla_kv_buffer_kernel<(long)512, (long)64, (int)8, (bool)1, long>(<unnamed>::SetMlaKVBufferParams)"
34,tensor_core_gemm,14763,1115.767141,75.578618,73.216,78.944,0;1;2;3,nvjet_sm103_tst_128x224_64x4_1x2_h_bz_TNT,nvjet_sm103_tst_128x224_64x4_1x2_h_bz_TNT
35,elementwise_misc,131703,1028.239081,7.807256,1.728,9.888,0;1;2;3,_scatter_gather_elementwise_kernel,"void at::native::_scatter_gather_elementwise_kernel<(int)128, (int)8, void at::native::_cuda_scatter_gather_internal_kernel<(bool)0, at::native::OpaqueType<(int)4>, int>::operator ()<at::native::TensorAssign>(at::TensorIterator &, long, long, long, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
36,other_kernel,7268,811.813766,111.696996,19.456,497.539,0;1;2;3,write_req_to_token_pool_triton,write_req_to_token_pool_triton
37,quant_rope_norm,38157,808.369706,21.185358,8.96,23.168,0;1;2;3,kernel_cutlass_kernel_flashinfernormkernelslayernormLayerNormKernel_object_at__tensorptrbf16gmemalign16oi64128i64div41_tensorptrbf16gmemalign16oi64128i64div41_tensorptrf32gmemalign16o1281_0,kernel_cutlass_kernel_flashinfernormkernelslayernormLayerNormKernel_object_at__tensorptrbf16gmemalign16oi64128i64div41_tensorptrbf16gmemalign16oi64128i64div41_tensorptrf32gmemalign16o1281_0
38,elementwise_misc,141726,558.0841,3.937768,2.144,6.304,0;1;2;3,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<unsigned char>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
39,other_kernel,69920,549.816484,7.863508,3.168,37.505,0;1;2;3,DeviceRadixSortOnesweepKernel,"void at_cuda_detail::cub::detail::radix_sort::DeviceRadixSortOnesweepKernel<at_cuda_detail::cub::detail::radix::policy_hub<long, at_cuda_detail::cub::NullType, unsigned long long>::Policy1000, (at_cuda_detail::cub::SortOrder)0, long, at_cuda_detail::cub::NullType, unsigned long long, int, int, at_cuda_detail::cub::detail::identity_decomposer_t>(T7 *, T7 *, T5 *, const T5 *, T3 *, const T3 *, T4 *, const T4 *, T6, int, int, T8)"
40,other_kernel,153547,544.123495,3.543693,1.248,5.6,0;1;2;3,DeviceScanKernel,"void at_cuda_detail::cub::detail::scan::DeviceScanKernel<at_cuda_detail::cub::detail::scan::policy_hub<int, int, int, unsigned int, std::plus<int>>::Policy1000, const int *, int *, at_cuda_detail::cub::ScanTileState<int, (bool)1>, std::plus<int>, at_cuda_detail::cub::NullType, unsigned int, int, (bool)0, at_cuda_detail::cub::NullType>(T2, T3, T4, int, T5, T6, T7)"
41,elementwise_misc,131747,535.175355,4.062145,2.112,7.744,0;1;2;3,reduce_kernel,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::and_kernel_cuda(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(bool, bool) (instance 1)]>, unsigned int, bool, (int)4, (int)4>>(T3)"
42,tensor_core_gemm,1817,520.159746,286.273938,281.922,292.802,3,nvjet_sm103_tst_192x8_64x8_2x1_v_bz_splitK_TNT,nvjet_sm103_tst_192x8_64x8_2x1_v_bz_splitK_TNT
