rank,category,count,total_ms,avg_us,min_us,max_us,devices,short_name,full_name
61,elementwise_misc,3132,5.474221,1.747836,1.184,2.528,0;1;2;3,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<int>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
62,elementwise_misc,2944,5.176644,1.758371,1.504,2.208,0;1;2;3,CatArrayBatchedCopy_vectorized,"void at::native::<unnamed>::CatArrayBatchedCopy_vectorized<at::native::<unnamed>::OpaqueType<(unsigned int)4>, unsigned int, (int)1, (int)128, (int)1, (int)16, (int)4>(char *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
63,elementwise_misc,736,5.031012,6.835614,1.824,28.0,0;1;2;3,CatArrayBatchedCopy_contig,"void at::native::<unnamed>::CatArrayBatchedCopy_contig<at::native::<unnamed>::OpaqueType<(unsigned int)8>, unsigned int, (int)1, (int)128, (int)1>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
64,other_kernel,2400,4.429467,1.845611,0.864,5.152,0;1;2;3,DeviceCompactInitKernel,"void at_cuda_detail::cub::detail::scan::DeviceCompactInitKernel<at_cuda_detail::cub::ScanTileState<int, (bool)1>, long *>(T1, int, T2)"
65,quant_rope_norm,1472,3.837495,2.606994,1.152,28.065,0;1;2;3,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
66,elementwise_misc,925,3.331092,3.601181,2.144,14.336,0;1;2;3,index_elementwise_kernel,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_put_kernel_impl<at::native::OpaqueType<(int)8>>(at::TensorIterator &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
67,tensor_core_gemm,75,2.860858,38.144773,36.352,39.904,0;1;2;3,nvjet_sm103_tst_128x192_64x7_2x2_2cta_h_bz_TNT,nvjet_sm103_tst_128x192_64x7_2x2_2cta_h_bz_TNT
68,tensor_core_gemm,75,2.419814,32.264187,30.656,33.696,0;1;2;3,nvjet_sm103_tst_128x160_64x8_2x2_2cta_h_bz_TNT,nvjet_sm103_tst_128x160_64x8_2x2_2cta_h_bz_TNT
69,elementwise_misc,185,2.382642,12.879146,10.08,14.624,3,splitKreduce_kernel,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, __nv_bfloat16, float, __nv_bfloat16, (bool)0, float, __nv_bfloat16, __nv_bfloat16, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
70,other_kernel,740,2.285262,3.088192,2.624,4.0,0;1;2;3,compute_position_kernel,compute_position_kernel
71,elementwise_misc,1110,2.010379,1.811152,1.248,2.784,0;1;2;3,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::CUDAFunctorOnSelf_add<long>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
72,elementwise_misc,185,1.831857,9.90193,9.024,10.656,3,reduce_kernel,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::ArgMaxOps<float>, unsigned int, long, (int)4, (int)4>>(T3)"
73,elementwise_misc,740,1.335398,1.804592,1.536,2.272,0;1;2;3,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
74,elementwise_misc,740,1.110698,1.500943,0.896,2.496,0;1;2;3,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
75,quant_rope_norm,185,0.815843,4.409962,3.936,4.672,3,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
76,tensor_core_gemm,21,0.745446,35.497429,33.248,36.865,0;1;2;3,nvjet_sm103_tst_64x192_64x10_2x2_2cta_h_bz_TNT,nvjet_sm103_tst_64x192_64x10_2x2_2cta_h_bz_TNT
77,tensor_core_gemm,21,0.690856,32.897905,31.936,34.016,0;1;2;3,nvjet_sm103_tss_32x64_64x16_1x2_2cta_h_bz_splitK_TNN,nvjet_sm103_tss_32x64_64x16_1x2_2cta_h_bz_splitK_TNN
78,tensor_core_gemm,21,0.625664,29.793524,28.96,30.4,0;1;2;3,nvjet_sm103_tst_64x144_64x12_2x1_2cta_v_bz_TNT,nvjet_sm103_tst_64x144_64x12_2x1_2cta_v_bz_TNT
79,tensor_core_gemm,21,0.60992,29.04381,27.712,31.424,0;1;2;3,nvjet_sm103_tss_64x80_64x12_1x4_h_bz_TNT,nvjet_sm103_tss_64x80_64x12_1x4_h_bz_TNT
80,elementwise_misc,21,0.115649,5.507095,4.32,6.048,0;1;2;3,splitKreduce_kernel,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, float, float, float, (bool)0, float, float, float, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
81,elementwise_misc,28,0.098784,3.528,1.92,5.92,0,indexSelectSmallIndex,"void at::native::<unnamed>::indexSelectSmallIndex<int, int, unsigned int, (int)1, (int)1, (int)-2>(at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<const T1, T3>, at::cuda::detail::TensorInfo<const T2, T3>, int, int, T3, long)"
82,elementwise_misc,1,0.007104,7.104,7.104,7.104,3,index_elementwise_kernel,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)2>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
