elapsed_seconds,sampled_at_utc,dp_rank,running_requests,scrape_group
193.124461248,2026-08-24T07:41:52.139Z,0,7,decode-pod-1
193.124461248,2026-08-24T07:41:52.139Z,1,16,decode-pod-1
193.124461248,2026-08-24T07:41:52.139Z,2,11,decode-pod-1
193.124461248,2026-08-24T07:41:52.139Z,3,8,decode-pod-1
197.184461248,2026-08-24T07:41:56.199Z,4,10,decode-pod-2
197.184461248,2026-08-24T07:41:56.199Z,5,16,decode-pod-2
197.184461248,2026-08-24T07:41:56.199Z,6,10,decode-pod-2
197.184461248,2026-08-24T07:41:56.199Z,7,13,decode-pod-2
198.124461248,2026-08-24T07:41:57.139Z,0,7,decode-pod-1
198.124461248,2026-08-24T07:41:57.139Z,1,13,decode-pod-1
198.124461248,2026-08-24T07:41:57.139Z,2,7,decode-pod-1
198.124461248,2026-08-24T07:41:57.139Z,3,7,decode-pod-1
202.184461248,2026-08-24T07:42:01.199Z,4,11,decode-pod-2
202.184461248,2026-08-24T07:42:01.199Z,5,14,decode-pod-2
202.184461248,2026-08-24T07:42:01.199Z,6,11,decode-pod-2
202.184461248,2026-08-24T07:42:01.199Z,7,13,decode-pod-2
203.124461248,2026-08-24T07:42:02.139Z,0,6,decode-pod-1
203.124461248,2026-08-24T07:42:02.139Z,1,10,decode-pod-1
203.124461248,2026-08-24T07:42:02.139Z,2,9,decode-pod-1
203.124461248,2026-08-24T07:42:02.139Z,3,8,decode-pod-1
207.184461248,2026-08-24T07:42:06.199Z,4,10,decode-pod-2
207.184461248,2026-08-24T07:42:06.199Z,5,12,decode-pod-2
207.184461248,2026-08-24T07:42:06.199Z,6,9,decode-pod-2
207.184461248,2026-08-24T07:42:06.199Z,7,15,decode-pod-2
208.124461248,2026-08-24T07:42:07.139Z,0,7,decode-pod-1
208.124461248,2026-08-24T07:42:07.139Z,1,11,decode-pod-1
208.124461248,2026-08-24T07:42:07.139Z,2,10,decode-pod-1
208.124461248,2026-08-24T07:42:07.139Z,3,9,decode-pod-1
212.184461248,2026-08-24T07:42:11.199Z,4,14,decode-pod-2
212.184461248,2026-08-24T07:42:11.199Z,5,14,decode-pod-2
212.184461248,2026-08-24T07:42:11.199Z,6,8,decode-pod-2
212.184461248,2026-08-24T07:42:11.199Z,7,15,decode-pod-2
213.124461248,2026-08-24T07:42:12.139Z,0,7,decode-pod-1
213.124461248,2026-08-24T07:42:12.139Z,1,9,decode-pod-1
213.124461248,2026-08-24T07:42:12.139Z,2,9,decode-pod-1
213.124461248,2026-08-24T07:42:12.139Z,3,7,decode-pod-1
217.184461248,2026-08-24T07:42:16.199Z,4,15,decode-pod-2
217.184461248,2026-08-24T07:42:16.199Z,5,14,decode-pod-2
217.184461248,2026-08-24T07:42:16.199Z,6,9,decode-pod-2
217.184461248,2026-08-24T07:42:16.199Z,7,10,decode-pod-2
218.124461248,2026-08-24T07:42:17.139Z,0,7,decode-pod-1
218.124461248,2026-08-24T07:42:17.139Z,1,9,decode-pod-1
218.124461248,2026-08-24T07:42:17.139Z,2,10,decode-pod-1
218.124461248,2026-08-24T07:42:17.139Z,3,11,decode-pod-1
222.184461248,2026-08-24T07:42:21.199Z,4,13,decode-pod-2
222.184461248,2026-08-24T07:42:21.199Z,5,15,decode-pod-2
222.184461248,2026-08-24T07:42:21.199Z,6,9,decode-pod-2
222.184461248,2026-08-24T07:42:21.199Z,7,12,decode-pod-2
223.124461248,2026-08-24T07:42:22.139Z,0,10,decode-pod-1
223.124461248,2026-08-24T07:42:22.139Z,1,7,decode-pod-1
223.124461248,2026-08-24T07:42:22.139Z,2,8,decode-pod-1
223.124461248,2026-08-24T07:42:22.139Z,3,13,decode-pod-1
227.184461248,2026-08-24T07:42:26.199Z,4,10,decode-pod-2
227.184461248,2026-08-24T07:42:26.199Z,5,14,decode-pod-2
227.184461248,2026-08-24T07:42:26.199Z,6,8,decode-pod-2
227.184461248,2026-08-24T07:42:26.199Z,7,12,decode-pod-2
228.124461248,2026-08-24T07:42:27.139Z,0,8,decode-pod-1
228.124461248,2026-08-24T07:42:27.139Z,1,6,decode-pod-1
228.124461248,2026-08-24T07:42:27.139Z,2,9,decode-pod-1
228.124461248,2026-08-24T07:42:27.139Z,3,13,decode-pod-1
232.184461248,2026-08-24T07:42:31.199Z,4,9,decode-pod-2
232.184461248,2026-08-24T07:42:31.199Z,5,15,decode-pod-2
232.184461248,2026-08-24T07:42:31.199Z,6,8,decode-pod-2
232.184461248,2026-08-24T07:42:31.199Z,7,12,decode-pod-2
233.124461248,2026-08-24T07:42:32.139Z,0,15,decode-pod-1
233.124461248,2026-08-24T07:42:32.139Z,1,8,decode-pod-1
233.124461248,2026-08-24T07:42:32.139Z,2,9,decode-pod-1
233.124461248,2026-08-24T07:42:32.139Z,3,14,decode-pod-1
237.184461248,2026-08-24T07:42:36.199Z,4,9,decode-pod-2
237.184461248,2026-08-24T07:42:36.199Z,5,13,decode-pod-2
237.184461248,2026-08-24T07:42:36.199Z,6,7,decode-pod-2
237.184461248,2026-08-24T07:42:36.199Z,7,8,decode-pod-2
238.124461248,2026-08-24T07:42:37.139Z,0,9,decode-pod-1
238.124461248,2026-08-24T07:42:37.139Z,1,4,decode-pod-1
238.124461248,2026-08-24T07:42:37.139Z,2,10,decode-pod-1
238.124461248,2026-08-24T07:42:37.139Z,3,10,decode-pod-1
242.184461248,2026-08-24T07:42:41.199Z,4,9,decode-pod-2
242.184461248,2026-08-24T07:42:41.199Z,5,11,decode-pod-2
242.184461248,2026-08-24T07:42:41.199Z,6,6,decode-pod-2
242.184461248,2026-08-24T07:42:41.199Z,7,7,decode-pod-2
243.124461248,2026-08-24T07:42:42.139Z,0,9,decode-pod-1
243.124461248,2026-08-24T07:42:42.139Z,1,4,decode-pod-1
243.124461248,2026-08-24T07:42:42.139Z,2,7,decode-pod-1
243.124461248,2026-08-24T07:42:42.139Z,3,7,decode-pod-1
247.184461248,2026-08-24T07:42:46.199Z,4,6,decode-pod-2
247.184461248,2026-08-24T07:42:46.199Z,5,8,decode-pod-2
247.184461248,2026-08-24T07:42:46.199Z,6,5,decode-pod-2
