elapsed_seconds,client_in_flight,client_visible_post_ttft_streams_open
82.931558340,100,52
82.992142243,99,51
82.992385925,100,51
83.226563305,99,50
83.226648778,100,50
83.477465984,100,51
83.477528481,100,52
83.771681056,100,53
83.771821633,99,52
83.771881441,100,52
83.946336461,100,53
83.946384653,100,54
83.989735158,100,55
84.282423500,99,54
84.282490924,100,54
84.302778583,100,55
84.770004088,100,56
84.770048057,100,57
84.795561928,99,56
84.795646376,100,56
84.831971233,99,55
84.832056322,100,55
85.056852806,100,56
85.186491262,99,55
85.186565599,100,55
85.449647209,99,54
85.449769674,100,54
85.701657960,100,55
86.115753245,99,54
86.115834046,100,54
86.679070225,100,55
86.679755830,100,56
86.697135981,100,57
86.699768639,99,56
86.699846751,100,56
86.744906260,100,57
86.746571679,99,56
86.746623072,100,56
87.299616141,100,57
87.447914309,99,56
87.448057414,100,56
87.505457711,100,57
87.685640802,99,56
87.685818467,100,56
87.765038722,99,55
87.765607686,100,55
87.979130749,100,56
88.273863968,99,55
88.273942977,100,55
88.687176112,100,56
88.687219504,100,57
88.849035461,100,58
88.849132870,100,59
89.188013912,99,58
89.188158009,100,58
89.480823118,100,59
89.480840622,100,60
89.798587727,100,61
89.960831239,100,62
90.028726200,99,61
90.028969754,100,61
90.140033075,99,60
90.140181268,100,60
90.396037549,100,61
90.440972417,100,62
90.622027993,99,61
90.622156026,100,61
90.625236335,99,60
90.625295184,100,60
91.144352212,99,59
91.144448181,100,59
91.224277720,99,58
91.224405785,100,58
91.342142111,99,57
91.342262400,100,57
91.379565152,99,56
91.379623296,100,56
91.508464339,99,55
91.508520275,100,55
91.699505648,99,54
91.699676625,100,54
91.780470266,99,53
91.780757148,100,53
91.974460940,99,52
91.974547948,100,52
92.019440960,99,51
92.019868547,100,51
92.174542759,99,50
92.174677672,100,50
92.249915563,100,51
92.369864673,99,50
92.370013762,100,50
92.393282945,100,51
92.553424203,100,52
92.553459115,100,53
92.553585772,100,54
92.597395640,100,55
92.620490902,99,54
92.620564951,100,54
93.235207530,100,55
93.235965679,100,56
93.524183238,99,55
93.524269511,100,55
93.640188225,99,54
93.640271713,100,54
93.739614250,100,55
93.802155703,99,54
93.802310712,100,54
93.900834907,100,55
93.921752906,99,54
93.921950795,100,54
93.924728862,99,53
93.924784799,100,53
94.071245514,100,54
94.071264618,100,55
94.229408774,100,56
94.532263617,99,55
94.532544771,100,55
94.611583873,99,54
94.611643425,100,54
94.766232868,100,55
94.770194399,99,54
94.770258112,98,53
94.770307008,99,53
94.773221812,100,53
94.909751740,100,54
94.909791644,100,55
94.959479888,100,56
94.981458919,99,55
94.981618056,100,55
95.120119517,100,56
95.224733194,99,55
95.224943531,100,55
95.283441276,100,56
95.389353586,99,55
95.389592371,100,55
95.389699476,100,56
95.390046774,99,55
95.397248168,100,55
95.428403197,99,54
95.428473534,100,54
95.607643049,100,55
95.607680234,100,56
95.631412396,99,55
95.631490029,100,55
95.669403985,100,56
95.673052074,99,55
95.673103722,100,55
95.946835421,99,54
95.947026239,100,54
96.125438533,100,55
96.428057471,99,54
96.428225856,100,54
96.429726506,99,53
96.429975372,100,53
96.447397571,100,54
96.629424770,99,53
96.629551907,100,53
96.748023535,99,52
96.748085007,100,52
96.769784036,100,53
96.769828356,100,54
96.820723297,99,53
96.820797602,100,53
96.882080262,99,52
96.882219879,100,52
96.941739678,100,53
97.084478192,100,54
97.084592753,99,53
97.084662482,100,53
97.123387259,99,52
97.123608604,100,52
97.706203028,99,51
97.706310549,100,51
97.784282891,99,50
97.784376140,100,50
98.817351506,100,51
98.817399602,100,52
98.977105880,100,53
99.137029024,100,54
99.297400331,100,55
99.612140791,100,56
99.631445756,99,55
99.631659293,100,55
99.751979445,99,54
99.752236567,100,54
99.867990768,99,53
99.868165938,100,53
100.058609290,100,54
100.196859454,99,53
100.196950398,100,53
100.235150500,99,52
100.235315717,100,52
100.515534565,100,53
100.558848910,100,54
100.621401883,99,53
100.622198912,100,53
100.931774505,99,52
100.931885162,100,52
101.474699633,99,51
101.474994675,100,51
101.571542601,100,52
101.571576553,100,53
101.770729694,100,54
101.770769278,100,55
101.814207207,100,56
102.091563060,100,57
102.091583156,100,58
102.241986106,99,57
102.242253020,100,57
102.262486151,100,58
102.559764124,99,57
102.560118430,100,57
102.755768891,99,56
102.755983580,100,56
102.790250695,100,57
102.792793464,99,56
102.792842713,100,56
